id_transacao,cpf_aluno,data_transacao,mes_referencia,valor,curso,cep_cobranca,cidade,uf,bairro,venda_em_feriado,horas_assistidas,tickets_suporte,nps_score,percentual_conclusao,data_processamento_utc
TX-50000,***.579.073-**,2024-08-23,2024-08,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50001,***.494.290-**,2024-09-08,2024-09,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50002,***.318.939-**,2024-08-30,2024-08,99.9,Premium,50010000,Recife,PE,Santo Antônio,False,80.0,4.0,10.0,,2026-06-15T15:36:00.445263+00:00
TX-50003,***.936.385-**,2024-05-08,2024-05,49.9,Básico,90010150,Porto Alegre,RS,Centro Histórico,False,148.4,0.0,5.0,,2026-06-15T15:36:00.445263+00:00
TX-50004,***.374.441-**,2024-02-08,2024-02,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50005,***.649.525-**,2024-07-04,2024-07,899.0,Anual,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50006,***.687.906-**,2024-11-23,2024-11,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50007,***.906.375-**,2024-06-03,2024-06,899.0,Anual,04538133,São Paulo,SP,Itaim Bibi,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50008,***.426.629-**,2024-10-07,2024-10,49.9,Básico,01001000,São Paulo,SP,Sé,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50009,***.665.622-**,2024-12-04,2024-12,99.9,Premium,80010010,Curitiba,PR,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50010,***.087.805-**,2024-05-12,2024-05,899.0,Anual,69010000,Manaus,AM,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50011,***.735.856-**,2024-05-06,2024-05,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50012,***.920.881-**,2024-06-11,2024-06,49.9,Básico,01001000,São Paulo,SP,Sé,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50013,***.676.772-**,2024-03-12,2024-03,49.9,Básico,20031050,Rio de Janeiro,RJ,Centro,False,,5.0,5.0,,2026-06-15T15:36:00.445263+00:00
TX-50014,***.289.623-**,2024-11-07,2024-11,49.9,Básico,20031050,Rio de Janeiro,RJ,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50015,***.464.183-**,2024-11-24,2024-11,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,81.7,1.0,,,2026-06-15T15:36:00.445263+00:00
TX-50016,***.500.115-**,2024-08-11,2024-08,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50017,***.808.557-**,2024-02-21,2024-02,899.0,Anual,04538133,São Paulo,SP,Itaim Bibi,False,56.3,2.0,,,2026-06-15T15:36:00.445263+00:00
TX-50018,***.142.473-**,2024-04-18,2024-04,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50019,***.769.389-**,2024-05-25,2024-05,899.0,Anual,60060440,Fortaleza,CE,Praia de Iracema,False,144.0,2.0,,,2026-06-15T15:36:00.445263+00:00
TX-50020,***.537.932-**,2024-02-10,2024-02,99.9,Premium,90010150,Porto Alegre,RS,Centro Histórico,False,139.2,3.0,4.0,,2026-06-15T15:36:00.445263+00:00
TX-50021,***.642.813-**,2024-07-10,2024-07,899.0,Anual,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50022,***.112.664-**,2024-04-20,2024-04,899.0,Anual,20031050,Rio de Janeiro,RJ,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50023,***.599.594-**,2024-11-23,2024-11,99.9,Premium,60060440,Fortaleza,CE,Praia de Iracema,False,141.0,5.0,,,2026-06-15T15:36:00.445263+00:00
TX-50024,***.602.529-**,2024-10-11,2024-10,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50025,***.182.730-**,2024-06-10,2024-06,99.9,Premium,,,,,False,122.1,0.0,3.0,,2026-06-15T15:36:00.445263+00:00
TX-50026,***.455.259-**,2024-02-05,2024-02,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,,2.0,3.0,,2026-06-15T15:36:00.445263+00:00
TX-50027,***.677.306-**,2024-09-28,2024-09,49.9,Básico,50010000,Recife,PE,Santo Antônio,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50028,***.407.030-**,2024-11-09,2024-11,49.9,Básico,04538133,São Paulo,SP,Itaim Bibi,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50029,***.714.611-**,2024-07-28,2024-07,99.9,,01001000,São Paulo,SP,Sé,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50030,***.832.812-**,2024-07-10,2024-07,99.9,Premium,30140071,Belo Horizonte,MG,Boa Viagem,False,87.1,1.0,9.0,,2026-06-15T15:36:00.445263+00:00
TX-50031,***.465.193-**,2024-09-01,2024-09,49.9,Básico,20031050,Rio de Janeiro,RJ,Centro,False,31.7,0.0,,,2026-06-15T15:36:00.445263+00:00
TX-50032,***.820.506-**,2024-06-22,2024-06,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,,1.0,1.0,,2026-06-15T15:36:00.445263+00:00
TX-50033,***.202.461-**,2024-01-01,2024-01,49.9,Básico,04538133,São Paulo,SP,Itaim Bibi,True,,3.0,5.0,,2026-06-15T15:36:00.445263+00:00
TX-50034,***.143.455-**,2024-10-13,2024-10,99.9,Premium,69010000,Manaus,AM,Centro,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50035,***.653.469-**,2024-04-29,2024-04,49.9,Básico,30140071,Belo Horizonte,MG,Boa Viagem,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50036,***.629.145-**,2024-06-24,2024-06,49.9,Básico,70040010,Brasília,DF,Asa Norte,False,,,,,2026-06-15T15:36:00.445263+00:00
TX-50037,***.960.893-**,2024-04-11,2024-04,49.9,Básico,60060440,Fortaleza,CE,Praia de Iracema,False,115.8,2.0,5.0,,2026-06-15T15:36:00.445263+00:00
